trade_id,location,target_date,strategy,status,resolution_source,entry_price,tp_price,shares,actual_exit_price,actual_pnl,hit_2x,first_touch_ts_utc,max_price_seen,hypothetical_exit_price,hypothetical_pnl,delta_vs_actual,token_source,has_adds
paper_ef0583a5-3d4e-40_1776517240,Wellington,2026-04-20,unknown,resolved,openmeteo,0.3,0.6,666.6666666666667,0.0005,-199.6667,False,,0.575,0.0005,-199.6667,0.0,gamma_event_question,False
paper_9a975201-8d57-47_1776536535,Wellington,2026-04-20,unknown,resolved,openmeteo,0.19,0.38,1052.6315789473683,0.195,5.263157894736846,True,1776641459,0.9995,0.38,200.0,194.7368,gamma_event_question,False
paper_f558acf5-d0ff-46_1776536538,Chengdu,2026-04-19,unknown,resolved,,0.195,0.39,1025.6410256410256,0.0,-200.0,False,,0.225,0.0,-200.0,0.0,gamma_event_question,False
paper_d39ec3f6-3849-48_1776536541,Tokyo,2026-04-20,unknown,resolved,simmer,0.35,0.7,571.4285714285714,0.963,350.2857,True,1776661849,0.9995,0.7,200.0,-150.2857,gamma_event_question,False
paper_0a0cf089-aa36-45_1776644844,Beijing,2026-04-21,unknown,resolved,,0.25,0.5,800.0,0.0005,-199.6,False,,0.36,0.0005,-199.6,0.0,gamma_event_question,False
paper_394910aa-d4d0-4c_1776644847,Hong Kong,2026-04-20,unknown,resolved,simmer,0.3,0.6,666.6666666666667,0.994,462.6667,True,1776656446,0.9995,0.6,200.0,-262.6667,gamma_event_question,False
paper_414ff8b9-0e42-45_1776667658,Shenzhen,2026-04-22,unknown,resolved,historical_fallback,0.23,0.46,869.5652173913043,0.0,-200.0,False,,0.245,0.0,-200.0,0.0,gamma_event_question,False
paper_a30d60e4-0985-47_1776667661,Los Angeles,2026-04-22,unknown,resolved,openmeteo,0.275,0.55,727.2727272727273,0.275,0.0,False,,0.535,0.275,0.0,0.0,gamma_event_question,False
paper_475a6376-6040-46_1776669158,NYC,2026-04-22,unknown,resolved,openmeteo,0.11,0.22,1818.1818181818182,0.165,100.0,True,1776671411,0.29,0.22,200.0,100.0,gamma_event_question,False
manual_hk_2026-04-21_28c,Hong Kong,2026-04-21,core,resolved,,0.3,0.6,666.6666666666667,0.997,464.6667,True,1776741057,0.9995,0.6,200.0,-264.6667,gamma_market_id,False
manual_sz_2026-04-21_28c,Shenzhen,2026-04-21,core,resolved,,0.3,0.6,666.6666666666667,0.001,-199.3333,False,,0.285,0.001,-199.3333,0.0,gamma_market_id,False
paper_9e1f8cb8-bbf2-48_1776735411,Hong Kong,2026-04-22,core,resolved,simmer,0.315,0.63,634.9206349206349,0.0,-200.0,False,,0.325,0.0,-200.0,0.0,gamma_event_question,False
paper_18060c1d-d3ae-46_1776767096,Wellington,2026-04-23,core,resolved,historical_fallback,0.365,0.73,547.945205479452,1.0,347.9452,False,,0.41,1.0,347.9452,0.0,gamma_event_question,False
paper_9933be31-b949-4c_1776926359,Munich,2026-04-25,core,resolved,simmer,0.13,0.26,1538.4615384615383,0.0,-200.0,False,,0.255,0.0,-200.0,0.0,gamma_event_question,False
paper_cb14abff-5089-45_1777012005,Milan,2026-04-26,core,resolved,manual,0.14,0.28,2142.8571428571427,0.34,428.5714,True,1777099803,0.9995,0.28,300.0,-128.5714,journal,False
manual_well_2026-04-25_14c,Wellington,2026-04-25,punt,resolved,polymarket_api,0.0355,0.071,422.5352112676057,0.001,-15.0,True,1777055404,0.0985,0.071,15.0,30.0,gamma_market_id,False
manual_tokyo_2026-04-26_20c_1777026934,Tokyo,2026-04-26,core,resolved,simmer,0.39,0.78,270.05128205128204,1.0,164.7313,True,1777180805,0.9995,0.78,105.32,-59.4113,journal,False
paper_1f5d6880-33a6-4c_1777027948,Singapore,2026-04-25,core,resolved,manual,0.14,0.28,1428.5714285714284,0.0,-200.0,False,,0.165,0.0,-200.0,0.0,gamma_event_question,False
paper_bd23b292-1abf-46_1777038646,Ankara,2026-04-25,core,resolved,simmer,0.2,0.4,1000.0,0.0,-200.0,True,1777120203,0.665,0.4,200.0,400.0,gamma_event_question,False
paper_2478ad4c-db0a-4b_1777040810,Singapore,2026-04-26,core,resolved,early_exit_position_manager,0.055,0.11,3636.3636363636365,0.0135,-150.9091,False,,0.0695,0.0135,-150.9091,0.0,journal,False
paper_27e33aec-4775-46_1777055875,Lucknow,2026-04-25,core,resolved,simmer,0.185,0.37,1081.081081081081,0.0,-200.0,False,,0.195,0.0,-200.0,0.0,gamma_event_question,False
paper_c5d1b4d4-4081-4f_1777070282,NYC,2026-04-26,core,resolved,simmer,0.136,0.272,1470.5882352941176,0.0,-200.0,False,,0.1895,0.0,-200.0,0.0,journal,False
paper_bea80cde-da48-46_1777098996,Paris,2026-04-27,core,resolved,polymarket_cli,0.195,0.39,1025.6410256410256,0.0,-200.0,True,1777217405,0.39,0.39,200.0,400.0,journal,False
paper_d1210937-eb36-49_1777113023,Warsaw,2026-04-27,core,resolved,early_exit_position_manager,0.1625,0.325,1230.769231,0.195,40.0,True,1777183804,0.36,0.325,200.0,160.0,journal,False
paper_dc2c06d1-4c1a-4e_1777127764,Shanghai,2026-04-26,core,resolved,early_exit_position_manager,0.15,0.3,666.6666666666667,0.0005,-99.6667,True,1777167005,0.465,0.3,100.0,199.6667,journal,False
